profile_picture,profile_picture_display,date_of_birth,occupation,facebook,instagram,twitter,tiktok,first_name,last_name,player_gender,total_hoh,total_pov,total_nom,total_misc,votes_received
https://static.wikia.nocookie.net/bigbrother/images/9/98/US26_Angela_Large.jpg/revision/latest?cb=20240715170611,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/9/98/US26_Angela_Large.jpg/revision/latest?cb=20240715170611"" alt=""Angela Murray"" />",1973-11-11,Real estate agent,,https://www.instagram.com/angelamurray_utah_realtor/,,https://www.tiktok.com/@angela_utah_realtor,Angela,Murray,Female,2,1,6,0,17
https://static.wikia.nocookie.net/bigbrother/images/a/a5/US26_Brooklyn_Large.jpg/revision/latest?cb=20240715170625,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/a/a5/US26_Brooklyn_Large.jpg/revision/latest?cb=20240715170625"" alt=""Brooklyn Rivera"" />",1990-05-05,Business administrator,,https://www.instagram.com/mrsbrooklynrivera/,https://x.com/BrooklynMRivera,https://www.tiktok.com/@mrsbrooklynrivera,Brooklyn,Rivera,Female,0,0,2,0,6
https://static.wikia.nocookie.net/bigbrother/images/f/f0/US26_Cam_Large.jpg/revision/latest?cb=20240715170639,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/f/f0/US26_Cam_Large.jpg/revision/latest?cb=20240715170639"" alt=""Cam Sullivan-Brown"" />",1999-02-25,Physical therapist,,https://www.instagram.com/_itsjust_camm/,https://x.com/itsjust_camm,https://www.tiktok.com/@_itsjust_camm,Cam,Sullivan-Brown,Male,0,2,3,0,4
https://static.wikia.nocookie.net/bigbrother/images/b/be/US26_Cedric_Large.jpg/revision/latest?cb=20240715170653,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/b/be/US26_Cedric_Large.jpg/revision/latest?cb=20240715170653"" alt=""Cedric Hodges"" />",2001-06-18,Former Marine,,https://www.instagram.com/officiallyced/,https://x.com/CedricHodges,https://www.tiktok.com/@officiallyced,Cedric,Hodges,Male,0,0,1,0,3
https://static.wikia.nocookie.net/bigbrother/images/3/36/US26_Chelsie_Large.jpg/revision/latest?cb=20240715170701,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/3/36/US26_Chelsie_Large.jpg/revision/latest?cb=20240715170701"" alt=""Chelsie Baham"" />",1996-12-28,Nonprofit director,,https://www.instagram.com/chelsiebaham/,https://x.com/chelsiebaham?lang=en,https://www.tiktok.com/@chelsiebaham,Chelsie,Baham,Female,4,0,2,1,0
https://static.wikia.nocookie.net/bigbrother/images/7/73/US26_Joseph_Large.jpg/revision/latest?cb=20240715170726,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/7/73/US26_Joseph_Large.jpg/revision/latest?cb=20240715170726"" alt=""Joseph Rodriguez"" />",1993-07-28,Video store clerk,,https://www.instagram.com/brosephrodriguez/,https://x.com/Bb26Teamjoseph,,Joseph,Rodriguez,Male,0,0,1,0,4
https://static.wikia.nocookie.net/bigbrother/images/3/39/US26_Kenney_Large.jpg/revision/latest?cb=20240715170754,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/3/39/US26_Kenney_Large.jpg/revision/latest?cb=20240715170754"" alt=""Kenney Kelley"" />",1971-12-10,Former undercover cop,,https://www.instagram.com/sweet_kenney_k/,,,Kenney,Kelley,Male,0,1,3,0,13
https://static.wikia.nocookie.net/bigbrother/images/5/5c/US26_Kimo_Large.jpg/revision/latest?cb=20240715170806,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/5/5c/US26_Kimo_Large.jpg/revision/latest?cb=20240715170806"" alt=""Kimo Apaka"" />",1988-09-17,Mattress sales rep,,https://www.instagram.com/apaka/,https://x.com/apaka_bear,,Kimo,Apaka,Male,0,1,7,1,7
https://static.wikia.nocookie.net/bigbrother/images/f/fd/US26_Leah_Large.jpg/revision/latest?cb=20240715170825,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/f/fd/US26_Leah_Large.jpg/revision/latest?cb=20240715170825"" alt=""Leah Peters"" />",1998-01-09,VIP cocktail server,,https://www.instagram.com/leahpetersss/,https://x.com/leahpetersss,,Leah,Peters,Female,1,2,1,0,4
https://static.wikia.nocookie.net/bigbrother/images/c/c4/US26_Lisa_Large.jpg/revision/latest?cb=20240715170841,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/c/c4/US26_Lisa_Large.jpg/revision/latest?cb=20240715170841"" alt=""Lisa Weintraub"" />",1991-05-22,Celebrity chef,,https://www.instagram.com/dulce__de__lisa/,,,Lisa,Weintraub,Female,0,1,2,0,11
https://static.wikia.nocookie.net/bigbrother/images/4/46/US26_Makensy_Large.jpg/revision/latest?cb=20240715170858,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/4/46/US26_Makensy_Large.jpg/revision/latest?cb=20240715170858"" alt=""Makensy Manbeck"" />",2002-04-15,Construction project manager,,https://www.instagram.com/makensyjomanbeck/,https://x.com/MakensyManbeck,https://www.tiktok.com/@kensymanbeck,Makensy,Manbeck,Female,3,5,4,2,0
https://static.wikia.nocookie.net/bigbrother/images/4/45/US26_Matt_Large.jpg/revision/latest?cb=20240715170914,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/4/45/US26_Matt_Large.jpg/revision/latest?cb=20240715170914"" alt=""Matt Hardeman"" />",1999-01-28,Tech sales rep,,https://www.instagram.com/matt_hardeman/,https://x.com/Matt_hardeman1,https://www.tiktok.com/@matthardeman_,Matt,Hardeman,Male,0,0,1,0,8
https://static.wikia.nocookie.net/bigbrother/images/1/19/US26_Quinn_Large.jpg/revision/latest?cb=20240715170936,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/1/19/US26_Quinn_Large.jpg/revision/latest?cb=20240715170936"" alt=""Quinn Martin"" />",1998-10-03,Nurse recruiter,,https://www.instagram.com/ibelievethatwewillquinn/,https://x.com/EveryNowAndQuin,,Quinn,Martin,Male,2,0,3,0,5
https://static.wikia.nocookie.net/bigbrother/images/b/b3/US26_Rubina_Large.jpg/revision/latest?cb=20240715170952,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/b/b3/US26_Rubina_Large.jpg/revision/latest?cb=20240715170952"" alt=""Rubina Bernabe"" />",1989-02-04,Event bartender,,https://www.instagram.com/withrubina/,https://x.com/BernabeRubina,https://www.tiktok.com/@therubinashow,Rubina,Bernabe,Female,0,0,6,1,5
https://static.wikia.nocookie.net/bigbrother/images/0/03/US26_T%27kor_Large.jpg/revision/latest?cb=20240715171011,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/0/03/US26_T%27kor_Large.jpg/revision/latest?cb=20240715171011"" alt=""T&apos;kor Clottey"" />",2000-10-28,Crochet business owner,,https://www.instagram.com/tkorcouture/,,https://www.tiktok.com/@tkorcouture,T'kor,Clottey,Female,1,0,1,0,4
https://static.wikia.nocookie.net/bigbrother/images/1/1c/US26_Tucker_Large.jpg/revision/latest?cb=20240715171027,"<img src=""https://static.wikia.nocookie.net/bigbrother/images/1/1c/US26_Tucker_Large.jpg/revision/latest?cb=20240715171027"" alt=""Tucker Des Lauriers"" />",1993-10-17,Marketing and sales executive,,https://www.instagram.com/tsdeslauriers/,,,Tucker,Des Lauriers,Male,1,3,4,2,5
