start_date,end_date,season_number,full_name,abbreviation,winner,runner_up,americas_favorite_player
2000-07-05,2000-09-29,1,Big Brother 1,BB1,Eddie McGee,Josh Souza,
2001-07-05,2001-09-20,2,Big Brother 2,BB2,Will Kirby,Nicole Schaffrich,
2002-07-10,2002-09-25,3,Big Brother 3,BB3,Lisa Donahue,Danielle Reyes,
2003-07-08,2003-09-24,4,Big Brother 4,BB4,Jun Song,Alison Irwin,
2004-07-06,2004-09-21,5,Big Brother 5,BB5,Drew Daniel,Michael Ellis,
2005-07-07,2005-09-20,6,Big Brother 6,BB6,Maggie Ausburn,Ivette Corredero,
2006-07-06,2006-09-12,7,Big Brother 7,BB7,Mike Malin,Erika Landin,Janelle Pierzina
2007-07-05,2007-09-18,8,Big Brother 8,BB8,Dick Donato,Daniele Donato,
2008-02-12,2008-04-27,9,Big Brother 9,BB9,Adam Jasinski,Ryan Quicksall,James Zinkand
2008-07-13,2008-09-16,10,Big Brother 10,BB10,Dan Gheesling,Memphis Garrett,Keesha Smith
2009-07-09,2009-09-15,11,Big Brother 11,BB11,Jordan Lloyd,Natalie Martinez,Jeff Schroeder
2010-07-08,2010-09-15,12,Big Brother 12,BB12,Hayden Moss,Lane Elenburg,Britney Haynes
2011-07-07,2011-09-14,13,Big Brother 13,BB13,Rachel Reilly,Porsche Briggs,Jeff Schroeder
2012-07-12,2012-09-19,14,Big Brother 14,BB14,Ian Terry,Dan Gheesling,Frank Eudy
2013-06-26,2013-09-18,15,Big Brother 15,BB15,Andy Herren,GinaMarie Zimmerman,Elissa Slater
2014-06-25,2014-09-24,16,Big Brother 16,BB16,Derrick Levasseur,Cody Calafiore,Donny Thompson
2015-06-24,2015-09-23,17,Big Brother 17,BB17,Steve Moses,Liz Nolan,James Huling
2016-06-22,2016-09-21,18,Big Brother 18,BB18,Nicole Franzel,Paul Abrahamian,Victor Arroyo
2017-06-28,2017-09-20,19,Big Brother 19,BB19,Josh Martinez,Paul Abrahamian,Cody Nickson
2018-06-27,2018-09-26,20,Big Brother 20,BB20,Kaycee Clark,Tyler Crispen,Tyler Crispen
2019-06-25,2019-09-25,21,Big Brother 21,BB21,Jackson Michie,Holly Allen,Nicole Anthony
2020-08-05,2020-10-28,22,Big Brother 22,BB22,Cody Calafiore,Enzo Palumbo,Da'Vonne Rogers
2021-07-07,2021-09-29,23,Big Brother 23,BB23,Xavier Prather,Derek Frazier,Tiffany Mitchell
2022-07-06,2022-09-25,24,Big Brother 24,BB24,Taylor Hale,Monte Taylor,Taylor Hale
2023-08-02,2023-11-09,25,Big Brother 25,BB25,Jag Bains,Matt Klotz,Cameron Hardin
2024-07-17,2024-10-13,26,Big Brother 26,BB26,Chelsie Baham,Makensy Manbeck,Tucker Des Lauriers
2025-07-10,2025-09-28,27,Big Brother 27,BB27,Ashley Hollis,Vince Panaro,Keanu Soto
